cQtrAvgEst,cQtrHighEst,cQtrLowEst,cQtrNoAnlst,cQtrYearAgoEPS,cYearAvgEst,cYearHighEst,cYearLowEst,cYearNoAnlst,cYearYearAgoEPS,nQtrAvgEst,nQtrHighEst,nQtrLowEst,nQtrNoAnlst,nQtrYearAgoEPS,nYearAvgEst,nYearHighEst,nYearLowEst,nYearNoAnlst,nYearYearAgoEPS,tickerName
0.3,0.32,0.28,7,0.29,1.2,1.28,1.18,7,1.08,0.32,0.35,0.3,7,0.29,1.38,1.54,1.3,High Estimate,1.2,A
0.26,0.32,0.19,2,0.47,1.14,1.17,1.11,2,2.17,0.29,0.38,0.19,2,0.61,1.53,1.78,1.29,High Estimate,1.14,A
0,0,0,--,--,0.35,0.35,0.35,1,0.81,0,0,0,--,--,0.64,0.64,0.64,High Estimate,0.35,A
-0.09,-0.09,-0.09,1,-0.6,-0.2,-0.2,-0.2,1,-1.22,-0.1,-0.1,-0.1,1,-0.06,-0.31,-0.31,-0.31,High Estimate,-0.2,A
-0.05,-0.05,-0.05,1,0.07,-0.22,-0.22,-0.23,2,0.27,-0.06,-0.06,-0.06,1,0.04,-0.16,-0.14,-0.19,High Estimate,-0.22,A
-0.06,-0.06,-0.06,1,-0.21,-0.12,-0.02,-0.3,3,-2.47,-0.06,-0.06,-0.06,1,-0.05,-0.06,0.13,-0.21,High Estimate,-0.12,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
0.08,0.08,0.08,1,0.07,0.32,0.36,0.29,2,0.25,0.1,0.1,0.1,1,0.09,0.37,0.42,0.33,High Estimate,0.32,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.17,-0.17,-0.17,1,-0.3,-0.51,-0.51,-0.51,1,-1.45,-0.17,-0.17,-0.17,1,0.07,-0.67,-0.67,-0.67,High Estimate,-0.51,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.18,0.2,0.18,11,0.26,0.7,0.72,0.68,10,1.06,0.2,0.21,0.18,11,0.22,0.97,1.09,0.8,High Estimate,0.7,A
4,4.3,3.74,6,4.12,16.92,16.97,16.88,6,14.98,3.68,3.91,3.39,6,3.18,17.74,18.42,17.08,High Estimate,16.92,A
-0.29,-0.05,-0.39,4,-0.08,-1.64,-1.53,-1.73,3,-0.72,-0.37,-0.07,-0.55,4,-0.18,-1.13,-0.61,-1.65,High Estimate,-1.64,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.7,0.87,0.48,9,0.45,3.05,3.47,2.61,9,1.84,0.75,1.07,0.4,9,0.27,3.01,3.59,2.5,High Estimate,3.05,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0,0.02,-0.05,5,-0.09,-0.07,0,-0.25,5,-0.15,0.01,0.03,-0.03,5,0.1,0.08,0.16,-0.08,High Estimate,-0.07,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-0.16,-0.08,-0.8,11,-0.38,-0.4,-0.33,-0.5,12,-0.96,-0.17,-0.08,-0.8,11,-0.93,-0.44,-0.34,-0.62,High Estimate,-0.4,A
0,0,0,--,--,0,0,0,--,--,0,0,0,--,--,0,0,0,High Estimate,--,A
-0.71,-0.57,-0.86,6,-4.4,-2.92,-2.41,-3.87,6,-8.87,-0.75,-0.62,-0.98,6,-5.4,-3.18,-1.22,-4.63,High Estimate,-2.92,A
-3.27,-1.18,-7.36,3,-85.76,-15.2,-4.39,-35.52,3,-219.2,-3.11,-0.93,-7.36,3,-58.56,-10.82,-1.72,-27.84,High Estimate,-15.2,A
0.03,0.03,0.03,1,-0.01,0.04,0.04,0.04,1,0.12,0.08,0.08,0.08,1,0.06,0,0,0,High Estimate,0.04,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
1.51,1.62,1.46,9,1.45,5.87,6.19,5.74,11,5.89,1.47,1.64,1.39,9,1.35,6.07,6.66,5.41,High Estimate,5.87,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
-4.03,-4.03,-4.03,1,-5.04,-24.95,-24.95,-24.95,1,-22.68,-6.58,-6.58,-6.58,1,-6.66,-21.36,-21.36,-21.36,High Estimate,-24.95,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
0.6,0.6,0.6,1,--,0.14,0.17,0.12,2,0.29,0.66,0.66,0.66,1,--,0.39,0.39,0.38,High Estimate,0.14,A
-0.19,-0.19,-0.19,1,--,-0.76,-0.76,-0.76,1,-0.6,-0.19,-0.19,-0.19,1,--,0,0,0,High Estimate,-0.76,A
-0.23,-0.14,-0.33,2,--,-0.47,-0.39,-0.56,2,-0.99,-0.13,-0.12,-0.14,2,0.77,-0.23,-0.11,-0.35,High Estimate,-0.47,A
-0.73,-0.69,-0.78,5,-1.43,-2.18,-2.08,-2.32,5,-5.81,-0.75,-0.7,-0.85,5,-2.18,-2.36,-0.48,-3.22,High Estimate,-2.18,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Next Year,--,A
